ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x4607,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,conditions Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,24
0xb379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,conditions Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,33
0x5d6d,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,conditions Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,26
0x7a6a,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,21
0x70a2,CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,conditions Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,30
0x9bb4,HYDRES09DEL03,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,conditions Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,26
0x95b4,RANCHIRES15DEL01,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,conditions Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,40
0x9eb2,MYSRES15DEL02,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,conditions Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,32
0x1102,HYDRES05DEL02,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,conditions Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,34
0xcdcd,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,conditions Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,46
0xd987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,conditions Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,23
0x2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,conditions Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,21
0xc8b6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,20
0xdb64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,41
0x3af3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,conditions Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,20
0x3aab,MYSRES01DEL01,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,conditions Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,33
0x689b,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,conditions Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,40
0xc9cf,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,15
0x36b8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,36
0x5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,26
0x6c6b,COIMBRES13DEL01,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00,conditions Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,20
0xb816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,conditions Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,39
0x539b,MUMRES02DEL01,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,conditions Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,34
0xa1b2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,conditions Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,15
0x3231,JAPRES16DEL03,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,18
0x8bc0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,conditions Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,38
0x2288,BANGRES09DEL03,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,conditions Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,47
0x3c5e,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,conditions Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,12
0x3e60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,conditions Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,26
0xbff,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,22
0xd936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,21
0xd681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,conditions Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,25
0x2876,RANCHIRES02DEL01,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,conditions Stormy,Jam ,1,Snack ,scooter ,0,No ,Urban ,35
0x30c8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,30
0xb843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,conditions Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,22
0xb3a0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,conditions Windy,High ,1,Snack ,scooter ,0,No ,Urban ,10
0x6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,conditions Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,19
0x4bda,HYDRES17DEL02,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00,conditions Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,11
0x9d26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00,conditions Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,11
0x9b18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,conditions Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,28
0x5d99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,conditions Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,33
0xb796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,3,No ,Metropolitian ,52
0x85b4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,conditions Stormy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,22
0xc644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,conditions Fog,Low ,1,Snack ,scooter ,1,No ,Urban ,16
0x6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,conditions Sunny,Jam ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,11
0x63b6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,conditions Windy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,25
0xa30b,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,conditions Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,26
0x3556,SURRES09DEL01,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,conditions Sunny,High ,2,Snack ,scooter ,1,No ,Metropolitian ,18
0x5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,conditions Fog,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,16
0x25fd,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,conditions Stormy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,23
0xc1ff,AURGRES20DEL03,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,22:10:00,22:25:00,conditions Cloudy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,15
0x7ac8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,conditions Sandstorms,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,36
